10/20/2022 05:31:27 PM serv.py[line:47]INFO - serv heatbeat
10/21/2022 02:47:28 PM daemon.py[line:45]INFO - hello
10/21/2022 02:47:28 PM daemon.py[line:46]INFO - /home/ruijunfeng/works/fusion/d2ham/log/ham.log
10/21/2022 02:47:28 PM daemon.py[line:135]INFO - this device is single light certain
10/21/2022 02:47:28 PM rcomm.py[line:72]INFO - ruijunfeng-PC
10/21/2022 02:47:28 PM rcomm.py[line:103]INFO - hello test d
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
10/21/2022 02:47:28 PM rcomm.py[line:54]ERROR - no serial port found?!
