11/16/2022 01:47:03 PM daemon.py[line:45]INFO - hello
11/16/2022 01:47:03 PM daemon.py[line:46]INFO - /home/ruijunfeng/works/fusion/d2ham/log/ham.log
11/16/2022 01:47:03 PM daemon.py[line:135]INFO - this device is single light certain
11/16/2022 01:47:03 PM rcomm.py[line:72]INFO - ruijunfeng-PC
11/16/2022 01:47:03 PM rcomm.py[line:103]INFO - hello test d
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
11/16/2022 01:47:03 PM rcomm.py[line:54]ERROR - no serial port found?!
